,Z,element,Ka1,Ka2,Kb1,La1,La2,Lb1,Lb2,Ly1,Ma1
0,3,Li,54.3,,,,,,,,
1,4,Be,108.5,,,,,,,,
2,5,B,183.3,,,,,,,,
3,6,C,277.0,,,,,,,,
4,7,N,392.4,,,,,,,,
5,8,O,524.9,,,,,,,,
6,9,F,676.8,,,,,,,,
7,10,Ne,848.6,848.6,,,,,,,
8,11,Na,1040.98,1040.98,1071.1,,,,,,
9,12,Mg,1253.6,1253.6,1302.2,,,,,,
10,13,Al,1486.7,1486.27,1557.45,,,,,,
11,14,Si,1739.98,1739.38,1835.94,,,,,,
12,15,P,2013.7,2012.7,2139.1,,,,,,
13,16,S,2307.84,2306.64,2464.04,,,,,,
14,17,Cl,2622.39,2620.78,2815.6,,,,,,
15,18,Ar,2957.7,2955.63,3190.5,,,,,,
16,19,K,3313.8,3311.1,3589.6,,,,,,
17,20,Ca,3691.68,3688.09,4012.7,341.3,341.3,344.9,,,
18,21,Sc,4090.6,4086.1,4460.5,395.4,395.4,399.6,,,
19,22,Ti,4510.84,4504.86,4931.81,452.2,452.2,458.4,,,
20,23,V,4952.2,4944.64,5427.29,511.3,511.3,519.2,,,
21,24,Cr,5414.72,5405.509,5946.71,572.8,572.8,582.8,,,
22,25,Mn,5898.75,5887.65,6490.45,637.4,637.4,648.8,,,
23,26,Fe,6403.84,6390.84,7057.98,705.0,705.0,718.5,,,
24,27,Co,6930.32,6915.3,7649.43,776.2,776.2,791.4,,,
25,28,Ni,7478.15,7460.89,8264.66,851.5,851.5,868.8,,,
26,29,Cu,8047.78,8027.83,8905.29,929.7,929.7,949.8,,,
27,30,Zn,8638.86,8615.78,9572.0,1011.7,1011.7,1034.7,,,
28,31,Ga,9251.74,9224.82,10264.2,1097.92,1097.92,1124.8,,,
29,32,Ge,9886.42,9855.32,10982.1,1188.0,1188.0,1218.5,,,
30,33,As,10543.72,10507.99,11726.2,1282.0,1282.0,1317.0,,,
31,34,Se,11222.4,11181.4,12495.9,1379.1,1379.1,1419.23,,,
32,35,Br,11924.2,11877.6,13291.4,1480.43,1480.43,1525.9,,,
33,36,Kr,12649.0,12598.0,14112.0,1586.0,1586.0,1636.6,,,
34,37,Rb,13395.3,13335.8,14961.3,1694.13,1692.56,1752.17,,,
35,38,Sr,14165.0,14097.9,15835.7,1806.56,1804.74,1871.72,,,
