,mask_ratio,lr,transform,r2_mean
0,0.1,0.0001,instance_normalize,0.8725
1,0.1,0.0001,normalize,0.85
2,0.1,0.0001,log,0.7404999999999999
3,0.1,1e-05,instance_normalize,0.9025
4,0.1,1e-05,normalize,0.8614999999999999
5,0.1,1e-05,log,0.88
6,0.1,1e-06,instance_normalize,0.599
7,0.1,1e-06,normalize,0.632
8,0.1,1e-06,log,0.569
9,0.2,0.0001,instance_normalize,0.857
10,0.2,0.0001,normalize,0.7929999999999999
11,0.2,0.0001,log,0.8454999999999999
12,0.2,1e-05,instance_normalize,0.9019999999999999
13,0.2,1e-05,normalize,0.8765000000000001
14,0.2,1e-05,log,0.8165
15,0.2,1e-06,instance_normalize,0.6895
16,0.2,1e-06,normalize,0.6745
17,0.2,1e-06,log,0.576
18,0.3,0.0001,instance_normalize,0.909
19,0.3,0.0001,normalize,0.827
20,0.3,0.0001,log,0.7455
21,0.3,1e-05,instance_normalize,0.9115
22,0.3,1e-05,normalize,0.879
23,0.3,1e-05,log,0.837
24,0.3,1e-06,instance_normalize,0.6154999999999999
25,0.3,1e-06,normalize,0.657
26,0.3,1e-06,log,0.5439999999999999
27,0.4,0.0001,instance_normalize,0.895
28,0.4,0.0001,normalize,0.858
29,0.4,0.0001,log,0.697
30,0.4,1e-05,instance_normalize,0.905
31,0.4,1e-05,normalize,0.901
32,0.4,1e-05,log,0.748
33,0.4,1e-06,instance_normalize,0.6134999999999999
34,0.4,1e-06,normalize,0.6755
35,0.4,1e-06,log,0.5835
36,0.5,0.0001,instance_normalize,0.9265
37,0.5,0.0001,normalize,0.8140000000000001
38,0.5,0.0001,log,0.566
39,0.5,1e-05,instance_normalize,0.9105
40,0.5,1e-05,normalize,0.827
41,0.5,1e-05,log,0.843
42,0.5,1e-06,instance_normalize,0.609
43,0.5,1e-06,normalize,0.6779999999999999
44,0.5,1e-06,log,0.5335
45,0.6,0.0001,instance_normalize,0.9145
46,0.6,0.0001,normalize,0.8185
47,0.6,0.0001,log,0.804
48,0.6,1e-05,instance_normalize,0.9099999999999999
49,0.6,1e-05,normalize,0.877
50,0.6,1e-05,log,0.861
51,0.6,1e-06,instance_normalize,0.6105
52,0.6,1e-06,normalize,0.657
53,0.6,1e-06,log,0.591
54,0.7,0.0001,instance_normalize,0.9039999999999999
55,0.7,0.0001,normalize,0.8325
56,0.7,0.0001,log,0.8240000000000001
57,0.7,1e-05,instance_normalize,0.901
58,0.7,1e-05,normalize,0.8625
59,0.7,1e-05,log,0.8705
60,0.7,1e-06,instance_normalize,0.6475
61,0.7,1e-06,normalize,0.6795
62,0.7,1e-06,log,0.6014999999999999
63,0.8,0.0001,instance_normalize,0.9015
64,0.8,0.0001,normalize,0.8334999999999999
65,0.8,0.0001,log,0.688
66,0.8,1e-05,instance_normalize,0.909
67,0.8,1e-05,normalize,0.8625
68,0.8,1e-05,log,0.8935
69,0.8,1e-06,instance_normalize,0.6345
70,0.8,1e-06,normalize,0.6519999999999999
71,0.8,1e-06,log,0.524
72,0.9,0.0001,instance_normalize,0.8955
73,0.9,0.0001,normalize,0.8365
74,0.9,0.0001,log,0.7709999999999999
75,0.9,1e-05,instance_normalize,0.89
76,0.9,1e-05,normalize,0.875
77,0.9,1e-05,log,0.9075
78,0.9,1e-06,instance_normalize,0.6425
79,0.9,1e-06,normalize,0.6559999999999999
80,0.9,1e-06,log,0.529
